TIME,PLANT,MACHINE,COMPONENT,MODEL,HEALTHSCORE,Actual_Value,UNITS,Caution,Acknowledge,Note
28/4/2025 1:00,ESP,3225-X-001B,POWER TURBINE,26PTCT1 ( PT Counter Thrust Bearing Temp 1 ) x L 3225X001B,61,65.0,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GENERATOR,26GNL1_2 ( AC Generator Stator L1 Winding Temp 2 ) x L 3225X001B,79,64.9617,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GENERATOR,26GNL1_1 ( AC Generator Stator L1 Winding Temp 1 ) x L 3225X001B,60,65.559,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,FUEL SYSTEM,63FGCM ( Fuel Gas Central Manifold Press (ECS) ) x L 3225X001B,60,44.0125,barg,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GENERATOR,26GNL2_1 ( AC Generator Stator L2 Winding Temp 1 ) x L 3225X001B,75,65.0648,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,FUEL SYSTEM,63FGSM ( Fuel Gas Secondary Manifold Press (ECS) ) x L 3225X001B,14,57.9031,barg,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GEAR BOX,26GBLNE ( Gearbox LS NDE Bearing Temp ) x L 3225X001B,52,92.0,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,FUEL SYSTEM,26GNECAO1 ( Gen Cooling Air Outlet Excitier Temp 1 ) x L 3225X001B,62,58.0,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GAS TURBINE,39GBLNEZ2 ( Gearbox LSS NDE Axial Displacement 2 ) x L 3225X001B,12,-0.14,mm,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GENERATOR,26GNL2_3 ( AC Generator Stator L2 Winding Temp 3 ) x L 3225X001B,76,64.9098,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GEAR BOX,26GBHDE ( Gearbox HS DE Bearing Temp ) x L 3225X001B,6,81.0,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GENERATOR,26GNL2_2 ( AC Generator Stator L2 Winding Temp 2 ) x L 3225X001B,64,65.6555,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GENERATOR,26GNCAO ( AC Generator Cooling Air Outlet Temp ) x L 3225X001B,28,64.0274,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GG LUBE OIL,63QGHP ( GG Hydraulic Pump Press ) x L 3225X001B,0,54.3,barg,1.0,2025-05-13 14:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,FUEL SYSTEM,63FGPM ( Fuel Gas Primary Manifold Press (ECS) ) x L 3225X001B,16,68.2508,barg,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GEAR BOX,39GBC2 ( Gearbox Casing Vibration 2 ) x L 3225X001B,79,175.555,mm/seCk,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,POWER TURBINE,26PTTB1 ( PT Thrust Bearing Temp 1 ) x L 3225X001B,75,80.0,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GG LUBE OIL,63QGHJF ( GG Hydraulic Filter dP ) x L 3225X001B,0,0.0,bard,1.0,2025-05-13 14:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,POWER TURBINE,26PTRC1A ( PT Stage 1 Rim Cooling Temp ) x L 3225X001B,73,527.098,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GAS TURBINE,26GBHNE ( Gearbox HS NDE Bearing Temp ) x L 3225X001B,28,82.0,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,POWER TURBINE,26PTCT2 ( PT Counter Thrust Bearing Temp 2 ) x L 3225X001B,69,64.4717,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GEAR BOX,26GBLDE ( Gearbox LS DE Bearing Temp ) x L 3225X001B,22,88.0,C,1.0,2025-04-28 01:00:00 (Acknowledged),
28/4/2025 1:00,ESP,3225-X-001B,GG LUBE OIL,63QGHS ( GG L.O. Hydraulic Supply Pressure (ECS) ) x L 3225X001B,0,53.7,barg,1.0,2025-05-13 14:00:00 (Acknowledged),
13/5/2025 11:00,GSP2,788-CX-01R,AIR SYSTEM,TPD358 ( AMBIENT PRESSURE ) x L 788CX01R,49,3.8869,CMH2O,1.0,2025-05-13 11:00:00 (Acknowledged),
13/5/2025 10:00,ESP,3225-X-001B,POWER TURBINE,IPG1V63JIFT ( GT Inlet Filter Combustion Air dP ) x L 3225X001B,58,329.033,barg,1.0,2025-05-13 12:00:00 (Acknowledged),
11/5/2025 8:00,GSP2,786-CX-02R,GAS TURBINE,TC382-08A ( T5 TC8 ) x L 786-CX-02R,77,732.124,DEGC,1.0,2025-05-13 09:00:00 (Acknowledged),
11/5/2025 0:00,GSP1,707-CX-001,SEAL SYSTEM,FT135B (1ST STAGE SEAL DE VENT TO FLARE) x L 707CX001,73,0.565507,NM3/H,1.0,2025-05-13 14:00:00 (Acknowledged),
10/5/2025 22:00,ESP,3225-X-001B,MAIN LUBE OIL,63QGJF ( GG L.O. Filter dP ) x L 3225X001B,2,0.4,bard,1.0,2025-05-13 14:00:00 (Acknowledged),
24/4/2025 14:00,GSP2,786-CX-02R,COMPRESSOR,TE721B ( HP JBRG TP B (DE) ) x L 786-CX-02R,68,70.054,DEGC,0.5,24/4/2025 17:22,"increasing trend, keep monitoring"
18/4/2025 10:00,ESP,3225-X-001A,POWER TURBINE,63QMJBA1 ( PT Seal Air Atmos dP 1 ) x L 3225X001A,69,233.513,BAR,0.5,23/4/2025 16:44,to be followed up
13/5/2025 13:00,ESP,3225-X-001B,MAIN LUBE OIL,63QGJF ( GG L.O. Filter dP ) x L 3225X001B,2,0.4,bard,0.5,13/5/2025 13:51,
28/4/2025 1:00,ESP,3225-X-001B,MAIN LUBE OIL,71QGT ( GG LO Tank Level (ECS) ) x L 3225X001B,6,305.0,bard,0.0,2025-06-04 14:09:26,"load increase, normal"
28/4/2025 1:00,GSP2,788-CX-01R,SEAL GAS,FIT759 ( SP GAS FLOW NDE ) x L 788CX01R,37,5.52906,NM3/HR,0.0,23/4/2025 16:15,normal
28/4/2025 1:00,ESP,3225-X-001B,POWER TURBINE,63QMJBA1 ( PT Seal Air Atmospheric dP 1 ) x L 3225X001B,5,168.764,mmWC,0.0,23/4/2025 16:41,unit shutdown
28/4/2025 1:00,GSP2,786-CX-02R,GAS TURBINE,TC382-07A ( T5 TC7 ) x L 786-CX-02R,69,739.782,DEGC,0.0,2025-05-30 11:33:46,"increase speed, normal"
28/4/2025 1:00,GSP2,786-CX-02R,POWER TURBINE,TV354Y ( PT B4Y ) x L 786CX02R,0,7.64931,umpp,0.0,24/4/2025 8:08,to be retrain
28/4/2025 1:00,GSP2,786-CX-02R,GAS TURBINE,RT321A ( GP THRBRG2 ) x L 786-CX-02R,32,70.2939,DEGC,0.0,23/4/2025 16:17,"load increase, normal"
28/4/2025 1:00,GSP2,786-CX-001,EXPANDER,XI507A ( EXPANDER VIBRATION ) x L 786CX001,14,5.19981,uM,0.0,23/4/2025 8:28,vibration step up but still low
25/4/2025 9:00,GSP2,786-CX-02R,COMPRESSOR,TE727A ( HP TBG TP A (ACT) ) x L 786-CX-02R,45,70.8325,DEGC,0.0,2025-06-04 14:08:13,back to normal
25/4/2025 9:00,GSP2,786-CX-02R,POWER TURBINE,TV354Y ( PT B4Y ) x L 786CX02R,0,7.68056,umpp,0.0,24/4/2025 8:08,to be retrain
25/4/2025 9:00,GSP1,707-CX-001,SEAL SYSTEM,FI131 (SEAL SUP GAS FLOW NDE) x L 707CX001,75,9.21,NM3/H,0.0,23/4/2025 16:04,increasing trend but marginal
25/4/2025 9:00,GSP2,786-CX-02R,GAS TURBINE,RT321A ( GP THRBRG2 ) x L 786-CX-02R,2,71.3256,DEGC,0.0,23/4/2025 16:17,"load increase, normal"
25/4/2025 9:00,GSP2,788-CX-01R,SEAL GAS,FIT759 ( SP GAS FLOW NDE ) x L 788CX01R,64,5.62281,NM3/HR,0.0,23/4/2025 16:15,normal
25/4/2025 9:00,GSP2,786-CX-02R,GAS TURBINE,TC382-07A ( T5 TC7 ) x L 786-CX-02R,44,738.213,DEGC,0.0,2025-05-30 11:33:46,"increase speed, normal"
25/4/2025 9:00,GSP2,786-CX-02R,GAS TURBINE,TC382-03A ( T5 TC3 ) x L 786-CX-02R,44,738.393,DEGC,0.0,23/4/2025 8:44,"increase speed, normal"
25/4/2025 9:00,GSP2,786-CX-001,EXPANDER,XI507A ( EXPANDER VIBRATION ) x L 786CX001,0,5.39398,uM,0.0,23/4/2025 8:28,vibration step up but still low
